Automated Meter Location,Boiler location,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24
F620 Psychology from buffer vessel Goddard (IP 10.81.146.160),1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4339.0,8440.0,1280.0,4.0,5.0,274.0,6.0,8538.0,7365.0,12874.0,25264.0,36099.0,37316.0,26143.0,662.0,4931.0,4795.0,279.0,2368.0,2644.0,2374.0,121.0, , 
F620 Psychology 2c Animal rooms 1st floor(IP 10.81.146.160),1,0.0,2151.0,2590.0,2291.0,3169.0,3800.0,4343.0,3454.0,3539.0,2539.0,651.0,704.0,1026.0,676.0,1757.0,2790.0,3039.0,3354.0,3584.0,3746.0,2974.0,2784.0,2851.0,2378.0,2024.0,2311.0,2369.0,2884.0,3597.0,3605.0,3839.0,3545.0,3623.0,5155.0, , 
F620 Psychology 2c Cage wash (IP 10.81.146.160),1,8.0,17.0,8.0,67.0,235.0,625.0,774.0,418.0,295.0,207.0,9.0,19.0,0.0,34.0,27.0,22.0,58.0,337.0,508.0,769.0,103.0,100.0,45.0,3.0,0.0,1.0,64.0,135.0,557.0,328.0,577.0,534.0,620.0,469.0, , 
F620 Psychology 2c main AHU heating coil (IP 10.81.146.160),1,11734.0,13109.0,16469.0,17531.0,27226.0,34298.0,33710.0,28535.0,27577.0,26359.0,15194.0,15893.0,8786.0,3864.0,15126.0,22376.0,27797.0,34129.0,38353.0,40192.0,29984.0,25179.0,24988.0,15673.0,12186.0,16042.0,19935.0,25826.0,38189.0,34168.0,37677.0,35457.0,28580.0,26469.0, , 
F620 Psychology 2c main AHU cooling coil (IP 10.81.146.160),1,1650.0,1590.0,800.0,0.0,70.0,0.0,30.0,20.0,10.0,280.0,1100.0,1150.0,2600.0,3860.0,1470.0,90.0,250.0,20.0,0.0,0.0,460.0,390.0,120.0,940.0,2450.0,2470.0,100.0,100.0,0.0,0.0,0.0,0.0,130.0,220.0, , 
F718 Darwin,1,189.0,10.0,0.0,891.0,2281.0,2800.0,4182.0,3675.0,3303.0,3644.0,1948.0,1397.0,8.0,1672.0,2231.0,970.0,1000.0,1000.0,1441.0,1052.0,995.0,881.0,504.0,400.0,400.0,400.0,1153.0,302.7999999999884,199.20000000001164,200.0,130.0,140.5,0.0,90.5, , 
F812 Owheo and Robertson combined (10.81.147.145),1,2100.0,2900.0,31700.0,47000.0,79800.0,116500.0,118300.0,111400.0,97700.0,80700.0,45600.0,41700.0,23900.0,29700.0,34400.0,62300.0,87200.0,97900.0,109800.0,120900.0,80200.0,63800.0,48700.0,35600.0,35400.0,34400.0,38400.0,56900.0,96700.0,90900.0,101500.0,114500.0,85500.0,66300.0, , 
F813 Robertson Library,1,799.9999999999545,100.00000000013642,1899.999999999864,2500.0,18700.000000000044,24000.0,39000.0,26000.0,19000.0,21000.0,10000.0,10000.0,10000.0,7000.0,7000.0,12000.0,13000.0,20000.0,42000.0,33000.0,10000.0,27400.00000000009,11000.0,6599.999999999909,6000.0,8000.0,8000.0,8000.0,10000.0,20000.0,20000.0,20000.0,36000.0,4000.0, , 
F916 College of Education wood (invoiced),1,0.0,0.0,0.0,0.0,0.0,110.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
F916 College of Education wood boiler (10.81.147.145),1000,0.0,0.0,9600.0,47100.0,182100.0,219300.0,333600.0,264800.0,284300.0,210700.0,62300.0,0.0,0.0,0.0,42900.0,99300.0,227100.0,227600.0,342800.0,305000.0,213800.0,165700.0,98100.0,0.0,0.0,0.0,131300.0,190400.0,241800.0,109200.0,57900.0,271400.0,218800.0,171600.0, , 
F916 College of Education gas Boiler,1,38753.8307,2981.0639,88360.0738,117534.3059,9981.5398,67894.5677,74426.1122,18522.7903,0.0,12393.186999999998,46189.7429,123194.97779999998,66319.837623,55159.1079156,54209.2585788,106281.3,22491.0753678,91851.0,36294.0,51686.0,780.0,11980.0,2239.0,109448.0,109448.0,135985.0,105993.0,67745.0,104506.0,8165.0,68765.0,314414.0,613.0,2239.0,2837,0
F916 College of Education Gas & Wood,1,38753.8307,2981.0639,97960.0738,164634.30589999998,192081.5398,287194.5677,408026.1122,283322.7903,284300.0,223093.187,108489.7429,123194.97779999998,66319.837623,55159.1079156,97109.2585788,205581.3,249591.0753678,319451.0,379094.0,356686.0,214580.0,177680.0,100339.0,109448.0,109448.0,135985.0,237293.0,258145.0,346306.0,117365.0,126665.0,585814.0,219413.0,173839.0,0, 
F916 College of Education other buildings,1,36653.8307,81.06389999999965,66260.0738,117634.30589999998,112281.5398,170694.5677,289726.1122,171922.7903,186600.0,142393.187,62889.7429,81494.97779999998,42419.837623,25459.1079156,62709.2585788,143281.3,162391.0753678,221551.0,269294.0,235786.0,134380.0,113880.0,51639.0,73848.0,74048.0,101585.0,198893.0,201245.0,249606.0,26465.0,25165.0,471314.0,133913.0,107539.0, , 
H402 St David II Chilled Water Energy  (Desigo),1000,5300.000000000011,1199.9999999999886,0.0,0.0,0.0,0.0,200.00000000000284,900.0000000000057,399.9999999999915,900.0000000000057,2799.9999999999973,3000.0,4200.000000000003,0.0,0.0,0.0,0.0,0.0,0.0,799.9999999999972,1900.0000000000057,1700.0000000000027,199.99999999998863,2400.000000000005,4590.000000000004,4409.999999999996,1750.0,1360.0006000000064,1089.9993999999965,90.00000000000341,129.99819999998863,349.99840000000404,610.0007000000005,1100.0027000000046, , 
H538 Childcare boiler (IP 10.81.149.14),1,25790.0,26040.0,42250.0,43170.0,61950.0,75690.0,79630.0,65340.0,57740.0,49260.0,43700.0,37410.0,25680.0,31210.0,54260.0,59610.0,66900.0,77910.0,71750.0,73940.0,51600.0,58860.0,58650.0,39380.0,29110.0,35020.0,42780.0,57550.0,82640.0,75660.0,71000.0,70470.0,70500.0,70650.0, , 
H538 Childcare Heat energy usage,1,22070.0,21340.0,36190.0,35750.0,51590.0,63560.0,62180.0,49590.0,44250.0,37060.0,36730.0,32070.0,21920.0,27180.0,47050.0,51250.0,53580.0,61630.0,52650.0,54330.0,36770.0,46900.0,52750.0,35540.0,25320.0,30340.0,37370.0,50440.0,72230.0,63330.0,2651.0,51780.0,51810.0,51890.0, , 
H538 Percentage of total Boiler house Heat,1,0.8557580457541683,0.8195084485407066,0.8565680473372781,0.8281213805883716,0.8327683615819209,0.839741049015722,0.780861484365189,0.7589531680440771,0.7663664703844821,0.7523345513601299,0.8405034324942792,0.8572574178027266,0.8535825545171339,0.8708747196411407,0.867121267969038,0.859755074651904,0.8008968609865471,0.7910409446797587,0.7337979094076655,0.73478496077901,0.7125968992248062,0.7968059802922188,0.8994032395566922,0.9024885728796344,0.8698041909996564,0.8663620788121074,0.8735390369331464,0.8764552562988706,0.8740319457889641,0.8370340999206979,0.037338028169014,0.7347807577692635,0.7348936170212766,0.7344656758669498, , 
H538 CSAFE ,1,3720.0,4700.0,6060.0,7420.0,10360.0,12130.0,14140.0,13370.0,11500.0,10610.0,6290.0,4790.0,3530.0,3690.0,6280.0,7060.0,11510.0,14190.0,17230.0,17580.0,13630.0,10460.0,5140.0,3570.0,3550.0,3880.0,4100.0,5290.0,7750.0,9580.0,17000.0,17000.0,17000.0,17000.0, , 
H538 31 Montgomery Ave ,1,0.0,0.0,0.0,0.0,0.0,0.0,3310.0,2380.0,1990.0,1590.0,680.0,550.0,230.0,340.0,930.0,1300.0,1810.0,2090.0,1870.0,2030.0,1200.0,1500.0,760.0,270.0,240.0,800.0,1310.0,1820.0,2660.0,2750.0,51349.0,1690.0,1690.0,1760.0, , 
H633 Arana Boiler (IP 10.81.148.22),1,25100.0,56800.0,83400.0,85100.0,146700.0,188100.0,218700.0,186500.0,170200.0,147800.0,60200.0,26500.0,28400.0,39300.0,84700.0,99700.0,147300.0,166100.0,191600.0,203700.0,154900.0,135900.0,63100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, , 
J141 Aquinas Priory solar (Desigo),1,0.0,1841.0,2147.0,1471.0,835.0,279.0,401.0,1348.0,1401.0,1720.0,1092.0,1200.0,578.0,292.0,1438.0,1364.0,741.0,305.0,481.0,781.0,1415.0,1575.0,804.0,335.0,682.0,1287.0,1012.0,828.0,462.0,226.0,280.0,757.0,596.0,718.0, , 
J122 Carrington Jenkins boiler ,1000,0.0,6000.0,9429.999999999947,5570.00000000005,20000.0,31000.0,34000.0,30000.0,20400.00000000009,17949.999999999818,3940.000000000055,0.0,0.0,6000.0,9429.999999999947,5570.00000000005,20000.0,31000.0,34000.0,30000.0,20400.00000000009,17949.999999999818,3940.000000000055,0.0,0.0,4.970000000000027,13.599999999999907,25.38000000000011,23.6099999999999,26.0,26.0,26.0,38.7800000000002,5.029999999999973,0, 
K430 Caroline Freeman College East (Abbey) solar energy,1,588.0,500.0,932.0,385.0,131.0,98.0,28.0,153.0,185.0,75.19999999999709,108.60000000000582,52.19999999999709,96.10000000000582,73.89999999999418,40.0,603.8000000000029,136.1999999999971,31.5,48.30000000000291,150.0,315.09999999999127,360.0,380.6000000000058,379.6999999999971,398.8000000000029,218.5,454.1000000000058,117.19999999999708,116.59999999999128,29.60000000000582,100.10000000000582,134.5,42.39999999999418,79.30000000000291, , 
XI01 Invercargill Boiler (IP 10.85.4.21),1,0.0,5000.0,3000.0,3000.0,2790.0,8330.0,14190.0,15190.0,12000.0,7660.0,0.0,0.0,0.0,0.0,1600.0,3340.0,11020.0,18010.0,18730.0,20060.0,15470.0,4320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10, 
XI17 Invercargill Southland Learning Centre (Desigo),0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593.0,2683.0,4660.0,7180.0,7601.0,8014.0,7000.0,4500.0,3000.0,1297.0,1160.0,402.0,288.0,3263.0,6315.0,6555.0,6487.0,6260.0,5578.0,4487.0,5442.0, , 
